pkg,date,download_count,tt_downloads,treated,boughtstars,treated2,_merge
acnawebcli,2023-04-29,2,22,0,0,0,left_only
acnawebcli,2023-04-30,0,22,0,0,0,left_only
acnawebcli,2023-05-01,0,22,0,0,0,left_only
acnawebcli,2023-05-02,0,22,0,0,0,left_only
acnawebcli,2023-05-03,0,22,0,0,0,left_only
acnawebcli,2023-05-04,0,22,0,0,0,left_only
acnawebcli,2023-05-05,1,23,0,0,0,left_only
acnawebcli,2023-05-06,1,24,0,0,0,left_only
acnawebcli,2023-05-07,0,24,0,0,0,left_only
acnawebcli,2023-05-08,0,24,0,0,0,left_only
acnawebcli,2023-05-09,0,24,0,0,0,left_only
acnawebcli,2023-05-10,0,24,0,0,0,left_only
acnawebcli,2023-05-11,1,25,0,0,0,left_only
acnawebcli,2023-05-12,1,26,0,0,0,left_only
acnawebcli,2023-05-13,1,27,0,0,0,left_only
acnawebcli,2023-05-14,1,28,0,0,0,left_only
acnawebcli,2023-05-15,0,28,0,0,0,left_only
acnawebcli,2023-05-16,0,28,0,0,0,left_only
acnawebcli,2023-05-17,1,29,0,0,0,left_only
acnawebcli,2023-05-18,1,30,0,0,0,left_only
acnawebcli,2023-05-19,0,30,0,0,0,left_only
acnawebcli,2023-05-20,0,30,0,0,0,left_only
acnawebcli,2023-05-21,0,30,0,0,0,left_only
acnawebcli,2023-05-22,0,30,0,0,0,left_only
acnawebcli,2023-05-23,0,30,0,0,0,left_only
acnawebcli,2023-05-24,0,30,0,0,0,left_only
acnawebcli,2023-05-25,0,30,0,0,0,left_only
acnawebcli,2023-05-26,0,30,0,0,0,left_only
acnawebcli,2023-05-27,0,30,0,0,0,left_only
acnawebcli,2023-05-28,1,31,0,0,0,left_only
acnawebcli,2023-05-29,1,32,0,0,0,left_only
acnawebcli,2023-05-30,2,34,0,0,0,left_only
acnawebcli,2023-05-31,0,34,0,0,0,left_only
acnawebcli,2023-06-01,0,34,0,0,0,left_only
acnawebcli,2023-06-02,0,34,0,0,0,left_only
acnawebcli,2023-06-03,0,34,0,0,0,left_only
acnawebcli,2023-06-04,0,34,0,0,0,left_only
acnawebcli,2023-06-05,0,34,0,0,0,left_only
acnawebcli,2023-06-06,0,34,0,0,0,left_only
acnawebcli,2023-06-07,0,34,0,0,0,left_only
acnawebcli,2023-06-08,0,34,0,0,0,left_only
acnawebcli,2023-06-09,0,34,0,0,0,left_only
acnawebcli,2023-06-10,0,34,0,0,0,left_only
